SermonId,Title,Speaker,Date,Text,Mp3Url,SeriesName,SermonPageUrl,SeriesIndex
180602539,"Colossians 3:18-21 - Putting on Godly Character, toward Your Family",Brian Beemer,2020-06-21,Colossians 3:18-21,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200621_pm.mp3,Colossians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180602539,14
180602036,"Jude 20-21 - The Right Response to Ungodly Deceivers, Part 2 - Grow in Spiritual Stability",Greg Pickle,2020-06-14,Jude 20-21,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200614_pm.mp3,Jude,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180602036,5
180601649,"Jude 17-19 - The Right Response to Ungodly Deceivers, Part 1 - Think Rightly about False Teachers",Greg Pickle,2020-06-07,Jude 17-19,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200607_pm.mp3,Jude,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180601649,4
180601096,Jude 5-16 - The Character and Condemnation of False Teachers,Greg Pickle,2020-05-31,Jude 5-16,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200531_am.mp3,Jude,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180601096,3
180600609,Jude: The Dangers of False Teachers,Greg Pickle,2020-05-24,Jude 4,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200524_am.mp3,Jude,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180600609,2
180600112,Jude 3: Fight for the Faith,Greg Pickle,2020-05-17,Jude 3,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200517_am.mp3,Jude,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180600112,1
180598903,"God's Plans for the Future, Part 11 - The Eternal State",Greg Pickle,2020-05-03,Revelation 21-22,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200503_am.mp3,God's Plans for the Future,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180598903,10
180598143,"God's Plans for the Future, Part 10 - The Final Judgment",Greg Pickle,2020-04-26,Matthew 25,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200426_am.mp3,God's Plans for the Future,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180598143,9
180597545,"God's Plans for the Future, Part 9 - The Millennial Kingdom",Greg Pickle,2020-04-19,Revelation 20:1-6,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200419_am.mp3,God's Plans for the Future,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180597545,8
180596796,Luke 24:13-35 - The Revelation of the Risen Christ,Greg Pickle,2020-04-12,Luke 24:13-35,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200412_am.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180596796,67
180596024,"God's Plans for the Future, Part 8 - The Second Coming of Christ",Greg Pickle,2020-04-05,Matthew 24,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200405_am.mp3,God's Plans for the Future,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180596024,7
