Title,FileName,Speaker,Date,Text,SeriesName,Mp3Url,SermonPageUrl,SeriesIndex,SermonId
Jesus' Authority to Forgive Sins,02-Jesus_Authority_to_Forgive_Sins.mp3,Greg Pickle,2013-02-24,Mark 2:1-12,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/02-Jesus_Authority_to_Forgive_Sins.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180191478,1,180191478
Putting Your Wisdom to the Test,01-Putting Your Wisdom to the Test.mp3,Greg Pickle,2013-10-13,James 3:13 - 18,Wisdom,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/01-Putting Your Wisdom to the Test.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180190734,1,180190734
Five Characteristics of Faithful Ministry,Worship Service.mp3,Greg Pickle,2014-02-09,Colossians 1:24-29,Ministry,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/Worship Service.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180191843,1,180191843
The Great Commission,The Great Commission.mp3,Greg Pickle,2014-02-23,Matthew 28:18-20,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/The Great Commission.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180193788,2,180193788
The Founding of a Faithful Church - Part 1,The Founding of a Faithful Church - Part 1.mp3,Greg Pickle,2014-03-02,Acts 15:36 - 16:15,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/The Founding of a Faithful Church - Part 1.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180194167,1,180194167
The Founding of a Faithful Church - Part 2,140309.mp3,Greg Pickle,2014-03-09,Acts 16:16-40,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/140309.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180195669,2,180195669
To All the Saints in Philippi,To All The Saints in Philippi.mp3,Greg Pickle,2014-03-16,Philippians 1:1-2,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/To All The Saints in Philippi.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180195889,3,180195889
Praying with Joyful Thanksgiving,140323.mp3,Greg Pickle,2014-03-23,Philippians 1:3-8,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/140323.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180197388,4,180197388
Jonah - Introduction,140330_pm.mp3,Brian Beemer,2014-03-30,Jonah 1:1,Jonah,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/140330_pm.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180197823,1,180197823
The Gospel in Difficult Circumstances,The Gospel and Difficult Circumstances.mp3,Greg Pickle,2014-04-06,Philippians 1:12-18a,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/The Gospel and Difficult Circumstances.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180198999,5,180198999
Joy in Christ Honoring Ministry - Confidence of Coming Deliverance,20140413_am.mp3,Greg Pickle,2014-04-13,Philippians 1:19-23,Wisdom,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140413_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180199925,2,180199925
Joy in Christ Honoring Ministry,140420_am.mp3,Greg Pickle,2014-04-20,"Philippians 1:21,22",Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/140420_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180200689,6,180200689
Sola Scriptura Session 1: The Authority of Scripture,Session 1 - The Authority of Scripture.mp3,Dr. Richard Phillips,2014-04-25,,Sola Conference 2014 - Sola Scriptura,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/Session 1 - The Authority of Scripture.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180201662,1,180201662
Sola Scriptura Session 2: The Sufficiency of Scripture,Session 2 - The Sufficiency of Scripture.mp3,Dr. Richard Phillips,2014-04-26,,Sola Conference 2014 - Sola Scriptura,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/Session 2 - The Sufficiency of Scripture.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180201663,2,180201663
Sola Scriptura Session 3: The Preservation of Scripture,Session 3 - The Preservation of Scripture.mp3,Dr. Richard Phillips,2014-04-26,,Sola Conference 2014 - Sola Scriptura,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/Session 3 - The Preservation of Scripture.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180201664,3,180201664
"Joy in Christ-Honoring Ministry, Part 3: Confidence of Continued Ministry",20140427am.mp3,Greg Pickle,2014-04-27,Philippians 1:22-26,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140427am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180201218,7,180201218
Sola Scriptura Session 6: Guard the Deposit,Session 6 - Guard the Deposit.mp3,Brian Murphy,2014-04-27,,Sola Conference 2014 - Sola Scriptura,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/Session 6 - Guard the Deposit.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180201666,4,180201666
Sola Scriptura Session 5: Set Your Heart to Study,Session 5 - Set Your Heart to Study.mp3,Brian Murphy,2014-04-27,,Sola Conference 2014 - Sola Scriptura,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/Session 5 - Set Your Heart to Study.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180201667,5,180201667
Sola Scriptura Session 4: The Transforming Power of the Word,Session 4 - The Transforming Power of the Word.mp3,Brian Murphy,2014-04-27,,Sola Conference 2014 - Sola Scriptura,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/Session 4 - The Transforming Power of the Word.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180201669,6,180201669
Conduct Worthy of the Gospel part 1: Stand Firm,140504_am.mp3,Greg Pickle,2014-05-04,Philippians 1:27,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/140504_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180202363,8,180202363
